Hotel Name,Rating,Score Description,Date,Pros,Full Review
Soho Grand Hotel,,Okay,2024-12-01,Pros (+) Staff was so nice and very attentive. So helpful. Location was also a big plus.,Staff was so nice and very attentive. So helpful. Location was also a big plus.
Soho Grand Hotel,,Okay,2024-12-01,"Pros (+) Location is still great ! I've been at Soho Grand years ago. The area is very easy, safe and nice.","Location is still great ! I've been at Soho Grand years ago. The area is very easy, safe and nice."
Soho Grand Hotel,10,Wonderful,2024-12-01,"Pros (+) The location was wonderful! Hotel is so pretty, we enjoyed our stay! Bed was comfy, pillows were perfect. Staff was pleasant and very helpful. Would absolutely stay here again!","The location was wonderful! Hotel is so pretty, we enjoyed our stay! Bed was comfy, pillows were perfect. Staff was pleasant and very helpful. Would absolutely stay here again!"
Soho Grand Hotel,,Good,2024-12-01,Pros (+) N/a,N/a
Soho Grand Hotel,10,Wonderful,2024-11-01,Pros (+) Great location..,Great location..
Soho Grand Hotel,,Okay,2024-11-01,"Pros (+) Clean, location was great, comfy beds","Clean, location was great, comfy beds"
Soho Grand Hotel,9.0,Wonderful,2024-11-01,"Pros (+) We have stayed here many times. It is comfortable, chic, and well-located to transit and places of interest. The rooms are attractive and comfortable, and most important, quiet -- we never hear noise from other rooms. Staff were very kind and delivered us a complimentary bottle of wine (perhaps due to our long stay, perhaps because it was my birthday -- in any case, we felt special and appreciated...","We have stayed here many times. It is comfortable, chic, and well-located to transit and places of interest. The rooms are attractive and comfortable, and most important, quiet -- we never hear noise from other rooms. Staff were very kind and delivered us a complimentary bottle of wine (perhaps due to our long stay, perhaps because it was my birthday -- in any case, we felt special and appreciated..."
Soho Grand Hotel,,Okay,2024-11-01,Pros (+) location room great view and very comfortable . our maid Muriel was lovely and helped get things we needed a kettle.,location room great view and very comfortable . our maid Muriel was lovely and helped get things we needed a kettle.
Soho Grand Hotel,9.0,Wonderful,2024-11-01,Pros (+) Convenient location,Convenient location
Soho Grand Hotel,8.0,Very good,2024-10-01,Pros (+) Location and staff were excellent.,Location and staff were excellent.
Hotel Indigo Lower East Side New York,,Okay,2024-12-01,Pros (+) Wanted a king bed for us two brothers. Could'nt find one so booked a separate room,Wanted a king bed for us two brothers. Could'nt find one so booked a separate room
Hotel Indigo Lower East Side New York,,Okay,2024-12-01,Pros (+) I liked the bathroom and the room overall. The location was also pretty convenient to get to other place around the city. Neighborhood also had some good coffee shops and stores.,I liked the bathroom and the room overall. The location was also pretty convenient to get to other place around the city. Neighborhood also had some good coffee shops and stores.
Hotel Indigo Lower East Side New York,,Good,2024-12-01,"Pros (+) Very friendly check in staff, pretty cool common areas. Roof bar was a little pricey, but great views. Perfect location for my visit.","Very friendly check in staff, pretty cool common areas. Roof bar was a little pricey, but great views. Perfect location for my visit."
Hotel Indigo Lower East Side New York,,Fair,2024-11-01,Pros (+) Location is good.,Location is good.
Hotel Indigo Lower East Side New York,10,Wonderful,2024-11-01,Pros (+) Amazing location with stupendous views and a fantastic bar,Amazing location with stupendous views and a fantastic bar
Hotel Indigo Lower East Side New York,8.0,Very good,2024-11-01,"Pros (+) Great location, clean","Great location, clean"
Hotel Indigo Lower East Side New York,9.0,Wonderful,2024-10-01,Pros (+) location,location
Hotel Indigo Lower East Side New York,,Good,2024-10-01,Pros (+) The room was spacious and the location was great. Loved the view.,The room was spacious and the location was great. Loved the view.
Hotel Indigo Lower East Side New York,8.0,Very good,2024-10-01,"Pros (+) Location was ideal, staff was polite and helpful. Room and amenities were great.","Location was ideal, staff was polite and helpful. Room and amenities were great."
Hotel Indigo Lower East Side New York,10,Wonderful,2024-10-01,Pros (+) The location was great! And the room was spacious,The location was great! And the room was spacious
Ace Hotel New York,,Okay,2024-12-01,,Bathrooms very cold
Ace Hotel New York,,Good,2024-12-01,Pros (+) Space in the rooms was good and location excellent ! Guys dealing with luggage excellent Roy and Leon,Space in the rooms was good and location excellent ! Guys dealing with luggage excellent Roy and Leon
Ace Hotel New York,,Fair,2024-12-01,Pros (+) Great location and easy to get to,Great location and easy to get to
Ace Hotel New York,,Mediocre,2024-12-01,Pros (+) - Very well located - Large room size (medium queen room),- Very well located - Large room size (medium queen room)
Ace Hotel New York,,Fair,2024-12-01,"Pros (+) Location was amazing, lobby is great. Staff was okay, but nothing in spectacular. And it is really fair value for the location, but the quality of the room nothing spectacular.","Location was amazing, lobby is great. Staff was okay, but nothing in spectacular. And it is really fair value for the location, but the quality of the room nothing spectacular."
Ace Hotel New York,10,Wonderful,2024-12-01,Pros (+) Location,Location
Ace Hotel New York,9.0,Wonderful,2024-12-01,Pros (+) Fabulous staff and wonderful location spacious room.,Fabulous staff and wonderful location spacious room.
Ace Hotel New York,,Fair,2024-12-01,Pros (+) The location is excellent! The property has the potential to truly have a special boutique quality.,The location is excellent! The property has the potential to truly have a special boutique quality.
Ace Hotel New York,,Good,2024-12-01,"Pros (+) Location, location, location. Perfect for exploring Manhattan, lots of subway links nearby and beautiful Madison Square Park nearby as well.","Location, location, location. Perfect for exploring Manhattan, lots of subway links nearby and beautiful Madison Square Park nearby as well."
Ace Hotel New York,,Fair,2024-12-01,Pros (+) Great location with good amenities and transport nearby. Staff is excellent in every way.,Great location with good amenities and transport nearby. Staff is excellent in every way.
Ace Hotel Brooklyn,10,Wonderful,2024-12-01,"Pros (+) The whole staff was helpful, friendly & welcoming. Enjoyed all interactions with front desk staff. Excellent experience.","The whole staff was helpful, friendly & welcoming. Enjoyed all interactions with front desk staff. Excellent experience."
Ace Hotel Brooklyn,8.0,Very good,2024-12-01,Pros (+) The property is very stylish and has a gorgeous bar. The staff were friendly and the room was a great size for New York. I really liked it here!,The property is very stylish and has a gorgeous bar. The staff were friendly and the room was a great size for New York. I really liked it here!
Ace Hotel Brooklyn,10,Wonderful,2024-12-01,"Pros (+) This is a fabulous property - industrial chic design that is also warm and comfortable (not always the case). The bar/lobby space is well appointed and warmly lit; the space was active/social but not loud. It is separate from check in so you not in the middle of that traffic. You are really in a nice space. Quiet rooms and floors, great walk-in shower, lots of hooks in bathroom and room. Nice for ...","This is a fabulous property - industrial chic design that is also warm and comfortable (not always the case). The bar/lobby space is well appointed and warmly lit; the space was active/social but not loud. It is separate from check in so you not in the middle of that traffic. You are really in a nice space. Quiet rooms and floors, great walk-in shower, lots of hooks in bathroom and room. Nice for ..."
Ace Hotel Brooklyn,9.0,Wonderful,2024-12-01,Pros (+) Well located to a metro stop Huge rooms Very Comfy beds Actually very very quiet even over a weekend Great spaces in the foyer for working and relaxing Beautifully styled.,Well located to a metro stop Huge rooms Very Comfy beds Actually very very quiet even over a weekend Great spaces in the foyer for working and relaxing Beautifully styled.
Ace Hotel Brooklyn,9.0,Wonderful,2024-11-01,"Pros (+) I love the front desk staff, they are incredibly helpful and kind. The lobby and bar are lively, fun, and attractive. Felt very comfortable. The beds are comfy. The staff make this my go to place to stay in Brooklyn.","I love the front desk staff, they are incredibly helpful and kind. The lobby and bar are lively, fun, and attractive. Felt very comfortable. The beds are comfy. The staff make this my go to place to stay in Brooklyn."
Ace Hotel Brooklyn,9.0,Wonderful,2024-11-01,Pros (+) It’s very stylish - and comfortable. Staff are welcoming and helpful when necessary.,It’s very stylish - and comfortable. Staff are welcoming and helpful when necessary.
Ace Hotel Brooklyn,8.0,Very good,2024-11-01,Pros (+) Modern hotel in Brooklyn. Helpful staff and comfortable room (although the second room we booked for a friend was substantially smaller and was charged at the same price),Modern hotel in Brooklyn. Helpful staff and comfortable room (although the second room we booked for a friend was substantially smaller and was charged at the same price)
Ace Hotel Brooklyn,,Good,2024-11-01,Pros (+) Bed very comfortable. Cleaning service excellent,Bed very comfortable. Cleaning service excellent
Ace Hotel Brooklyn,9.0,Wonderful,2024-11-01,Pros (+) Nice and clean and staff was very polite.,Nice and clean and staff was very polite.
Ace Hotel Brooklyn,,Fair,2024-11-01,Pros (+) Location was good.,Location was good.
The Greenwich Hotel,10,Wonderful,2024-11-01,Pros (+) Home feel and super kind staff,Home feel and super kind staff
The Greenwich Hotel,8.0,Very good,2024-11-01,"Pros (+) Quiet , friendly and discreet .","Quiet , friendly and discreet ."
The Greenwich Hotel,9.0,Wonderful,2024-08-01,Pros (+) Pool sensational and very relaxing,Pool sensational and very relaxing
The Greenwich Hotel,9.0,Wonderful,2024-05-01,"Pros (+) Ambience, very friendly staff, food, service, speed of service. Bed comfort. location. Great shower. Great amenities in the room.","Ambience, very friendly staff, food, service, speed of service. Bed comfort. location. Great shower. Great amenities in the room."
The Greenwich Hotel,10,Wonderful,2024-02-01,Pros (+) Everything!,Everything!
The Greenwich Hotel,10,Wonderful,2023-12-01,Pros (+) Clean. Professional. Elegant. Friendly.Safe. Lovely bed and linens,Clean. Professional. Elegant. Friendly.Safe. Lovely bed and linens
The Greenwich Hotel,,Poor,2023-12-01,,"The check in process was poor we had no information given to us on the property or our room. It was only on checking out and over hearing others talking, we found out things that would have been very useful to know and would have enhanced our experience. The spa is lovely, but......on the first trip the showers were so hot it was dangerous and could not be used. I informed the staff who had alread..."
The Greenwich Hotel,10,Wonderful,2023-11-01,"Pros (+) The Greenwich Hotel is a hidden gem nestled in the heart of New York City. From the moment you step inside, you are enveloped in a world of understated luxury and charm. The hotel's unique blend of rustic and modern aesthetics creates a warm and inviting atmosphere. The rooms are beautifully designed, featuring a perfect mix of old-world elegance and contemporary comfort. The attention to detail i...Read more","The Greenwich Hotel is a hidden gem nestled in the heart of New York City. From the moment you step inside, you are enveloped in a world of understated luxury and charm. The hotel's unique blend of rustic and modern aesthetics creates a warm and inviting atmosphere. The rooms are beautifully designed, featuring a perfect mix of old-world elegance and contemporary comfort. The attention to detail i..."
The Greenwich Hotel,10,Wonderful,2023-06-01,Pros (+) Loved to decor. The staff was very attentive and helpful. Food was amazing.,Loved to decor. The staff was very attentive and helpful. Food was amazing.
The Greenwich Hotel,10,Wonderful,2023-06-01,"Pros (+) Everything but particularly the courtyard and drawing room reserved for guests , and the lovely pool.","Everything but particularly the courtyard and drawing room reserved for guests , and the lovely pool."
